Compliance Name:,ISO 27001,Description,ISO 27001 - Information Security Standard,,,,
,,,2,"Sets adequate monitoring requirements for all information systems/
applications based on criticality of the systems.",,,
,,,3,"Logs system administrators and operators activities and ensures
reviewing them periodically, by an independent unit.",,,
,,,4,"Enables faults logging on all system levels including network,
applications, servers and databases among others.",,,
,,,5,"Deploys adequate logs analysis mechanism and places appropriate
actions on faults.",,,
,,,6,"Secures, where appropriate, logging systems and log files against
unauthorized changes including alterations, deletions, and renaming of log
file contents, dates and time stamps.",,,
,,,7,"Sets an appropriate life time for maintaining the logging information,
as per the business needs and criticality of information.",,,
,,,8,"Enables clock synchronization over all information processing
systems / applications with accurate time source.",,,
A.7,Business Continuity Management,,,,,,
A.7.1,Business Impact Analysis,A.7,1,"Develops and periodically conducts a business impact analysis for
all critical business processes and information systems in order to define and
determine the impact of potential operational failures.",,,
,,,2,"Sets and accounts the responsibility of the Business Impact Analysis
to the senior management, with involvement from all related divisions.",,multi_choice_checkboxes,The organization conducts a BIA using the business continuity management
A.7.2,Business Continuity Plan,A.7,1,"Organizes and accounts responsible a committee of senior
management and business owners for the business continuity plan, with
defined and clear responsibilities.",,YesOrNo,
,,,2,"Develops, maintains and periodically tests and reassesses a business
continuity plan that covers the following:
A. The plan should be based on the Business Impact Analysis and Risk
Assessment.
B. The plan should address requirements for resilience, alternative processing
and recovery capability of all critical business and IT services.
C. The plan should cover usage guidelines, roles and responsibilities,
procedures, communication processes, and the testing approach.",,YesOrNo,
,,,3,"Designs a business continuity process in a manner to reduce the
impact of a major disruption on key business functions and processes.",,,
A.7.3,Disaster Recovery ,A.7,1,"Identifies the most critical business systems and applications in
accordance with the risk assessment conducted by the entity.",,YesOrNo,
,,,2,"Deploys a proper recovery plan for the identified critical business
systems, as the entity's operations specify.",,YesOrNo,
,,,3,"Determines the type of recovery scheme that is applicable for its
requirement.",,YesOrNo,
,,,4,Exercises and periodically tests the decided recovery plan.,,YesOrNo,
,,,5,"Implements disaster recovery sites in case their business systems
result in a major loss for the whole government, through using an effective
approach based on feasibility studies.",,YesOrNo,
A.7.4,Backup and Storage Strategies,A.7,,,,,
A.7.4.1,Backup and storage policy and procedure,A.7.4,1,"Develops, distributes and maintains a formal documented backup,
storage and retention policy that includes:
A. Users' responsibilities.
B. Requirements for backup and recovery systems.
C. Backup protection controls.
D. Legal and business requirements (e.g. recovery point objective, recovery
time objective, etc.).",,,
,,,2,"Supplements, as necessary, the backup policy with a detailed
procedure for backup and storage specifications and implements them.",,,
A.7.4.2,Media Library and Resources Protection,A.7.4,1,"Develops, distributes and maintains a formal documented policy and
procedure on media library protection.",,,
,,,2,"Restricts and continuously monitors access to media libraries and
storage resources.",,,
,,,3,"Marks clearly all media and storage resources, indicating distribution
lists, handling controls, and the application asset's security classification as
per the assets classification policy.",,,
,,,4,"Allocates proper locations, with adequate security and environmental
measures and controls for the storage of the backup media, whether onsite/
offsite, as the entity specifies.",,,
,,,5,"Sets security agreements and proper security protection controls in
case an external party is involved in handling the media library for the entity.",,,
,,,6,"Protects and controls all physical media while being in a transit
process.",,,
,,,7,"Encrypts backups and archives where technically feasible and
appropriate.",,,
,,,8,"Maintains accountability for media in transit outside the entity
control areas and restricts to authorized personnel.",,,
,,,9,Wipes and sanitizes all backup media prior to disposal or reuse.,,,
A.7.4.3,Backup Testing Restoration,A.7.4,1,"Plans and executes a periodic testing and restoration process of all
backup and storage media.",,,
A.7.5,Business Continuity Plan (BCP) Test and Review,A.7,1,"Maintains, exercises and tests in a periodic manner the Business
Continuity Plan, Business Impact Analysis, Backup and Restoration, and
Disaster Recovery Plan.",,,
A.8,"Information System Acquisition, Development and Management",,,,,,
A.8.1,"Information Systems Acquisition, Development and
Management",A.8,,,,,
A.8.1.1,"Information Systems Acquisition, Development and
Management Policy and Procedure",A.8.1,1,"Develops, distributes and maintains a formal documented policy
and procedures for addressing the entity’s requirements for ensuring the
security on any in house developed or external party applications regarding
the Acquisition, Development and Management of information systems,
including mobile applications.",,,
A.8.1.2,Application Development,A.8.2,1,"Does the  Application or Software Development Life Cycle
(SDLC) methodology incorporates adequate security controls at all phases of the software development life cycle, while considering the defined security requirements (e.g. functional, technical, assurance etc.) at each software development stage?",,YesOrNo,
,,,2,"Does it maintains a formal procedure for secure
deployment, distribution, provisioning and decommissioning of portable computing device applications, application interfaces (APIs) (including third party components), through regular updates / checks to ensure adequate level of security?.",,YesOrNo,
A.8.2,"Information Systems Security Requirements and
Specifications",A.8,1,"Defines and documents information security requirements in
all business cases, requests for proposals and work requests, related to
acquisitioned or in house developed information systems, in order to ensure
integrating adequate security controls and minimize any cost related to
security, and sufficient resources are allocated to implement these controls.",,,
,,,2,"Develops and approves the information systems design documents
addressing the security requirements covering all the relevant platforms (e.g.
operating systems, browsers, portable computing devices, etc.)",,,
,,,3,"Develops the secure coding standards for information systems
software / mobile application / web application development.",,,
,,,4,"Designs the security architecture for the development & deployment
of information systems including network security, transmission security etc.",,,
,,,5,"Implements adequate configuration management process during
information systems design, development, implementation and operation.",,,
A.8.3,Secure and Correct Processing of Information Systems,A.8,1,"Conducts proper testing to validate integrity of data input controls
on information systems/applications.",,,
,,,2,"Identifies integrity requirements for processed messages
and information in the information systems/applications and ensures
implementing adequate controls to protect it.",,,
,,,3,"Integrates validation checks into information systems/applications
processing to detect any loss of integrity in processed information.",,,
,,,4,"Conducts proper testing to validate integrity of data output from
information systems/applications.",,,
A.8.4,"Securing Information Systems Files, Source Codes and
Data",A.8,1,"Implements restrictive information system procedures on the
installation and maintenance of software in the operational information
systems environments.",,,
,,,2,Implements proper protection controls on the use of testing data.,,,
,,,3,"Implements proper access control procedures on information
systems/application source codes.",,,
A.8.5,Managing Changes in Software Development,A.8.5,1,"Implements proper change management controls on the software
development processes, whether performed in-house or outsourced.",,,
,,,2,"Implements proper controls to limit the risk of changes to software
packages.",,,
,,,3,"Implements proper controls to prevent information leakage in all
information system/application environments.",,,
,,,4,"Implements proper security controls on outsourced software/
application development covering all stages of the project including source
code management, application maintenance etc.",,,
A.8.6,Security Testing,A.8,1,"Performs technical security reviews and vulnerability tests in order
to periodically assess technical infrastructure and information systems/
applications security against latest threats and vulnerabilities.",,,
,,,2,"Conducts periodic code reviews on all information systems/
applications developed in house or by an external party.",,,
A.8.7,Deployment of Information Systems / Applications,A.8,1,"Deploys the information systems/ applications into production
environment after successful completion of testing & fixing of defects
identified.",,,
,,,2,"Implements security sign off process to confirm the proper
implementation of security controls on all information systems/applications
prior to deployment.",,,
A.8.8,Cryptography Controls,A.8,1,"Develops, distributes and maintains a policy on the use of
cryptography and key management wherever applicable (e.g. during
development and maintenance of information systems/applications etc.).",,,
,,,2,"Implements proper cryptography and key management mechanisms
as required by the entity.",,,
,,,3,"Implements proper protection and security controls on all
cryptographic keys used by the entity.",,,
A.9,Environemntal & Physical Security,,,,,,
A.9.1,Environmental / Physical Threats Protection Policy and Procedure,A.9,1,"Develops, distributes, and maintains a formal, documented
environmental threats protection policy that addresses the entity's
requirements for placing environmental protection controls.",,YesOrNo,
,,,2,"Supplements the environmental threats protection policy with
a formal documented procedure to facilitate the implementation of the
environmental threats protection policy.",,YesOrNo,
A.9.2,Protection from Environmental Threats,A.9,1,"Implements adequate protection controls against environmental
threats, such as fire, floods, earthquakes, etc.",,YesOrNo,
,,,2,"Controls humidity and temperature level on information processing
facilities, and continuously monitors it.",,YesOrNo,
,,,3,Implements proper fire suppression and detection systems.,,YesOrNo,
,,,4,"Implements proper control for monitoring water leakage at the
physical information processing facilities.",,YesOrNo,
A.9.3,Secure Working Areas,A.9,1,"Implements adequate physical security mechanisms on offices, data
centres, and other working areas, based on criticality of such areas.",,YesOrNo,
,,,2,"Provides employees with proper guidelines and awareness on the
implemented protection controls in the working areas.",,YesOrNo,
,,,3,"Develops, distributes and maintains a clear desk and clear screen
policy that addresses users' responsibilities on securing desks, working areas,
and electronic user devices (e.g. PCs, printers, etc.).",,YesOrNo,
,,,4,Implements proper security controls over delivery and loading areas.,,YesOrNo,
A.9.4,Securing Equipment,A.9,1,"Places information systems related equipment in secure and
protected locations.",,,
,,,2,"Protects power equipment and cabling of information processing
facilities from damages",,,
,,,3,"Implements UPS (uninterruptable power supply) systems to avoid
power failures where deemed necessary.",,,
,,,4,"Implements proper maintenance procedures on all information
processing facilities.",,,
,,,5,"Implements proper protection controls over equipment and
information processing facilities residing offsite, including its movement,
storage and handling.",,,
,,,6,"implements adequate security controls on the disposal or re-use of
any equipment or information processing facility.",,,
A.9.5,Periodic Testing,A.9,1,"Conducts proper testing and assessment periodically over all
implemented environmental and physical protection controls.",,,
A.10,Roles and Responsibilities of HR,,,,,,
A.10.1,Prior to Employment Security Controls,A.10,1,"Defines security roles and responsibilities of employees, contractors
and outsourced employees in alignment with the entity high level information
security policy.",,YesOrNo,
,,,2,"Documents security roles and responsibilities in the job descriptions
and objectives of all employees, contractors and outsourced employees.",,YesOrNo,
,,,3,"Conducts proper screening and background verification for all
employment candidates according to the applicable laws and policies of Dubai
Government.",,YesOrNo,
,,,4,"Ensures that all employment contracts define security obligations
of employees, contractors and outsourced employees, and that approved
candidates read and agree such obligations.",,YesOrNo,
,,,5,"Incorporates Information Security Awareness as part of induction
programs of newly hired employees, contractors and outsourced employees.",,YesOrNo,
A.10.2,During Employment Security Controls,A.10,1,"Accounts the senior management responsible for enforcing
compliance of their employees, contractors and outsourced employees to the
entity information security policies and procedures.",,YesOrNo,
,,,2,"Sets a clear and defined disciplinary action for employees, contractors
and outsourced employees who may breach information security policies and
procedures.",,YesOrNo,
,,,3,"Ensures that all employees, contractors and outsourced employees
are provided with information security awareness programs on a regular basis.",,YesOrNo,
A.10.3,Termination/Change of Employment Security controls,A.10,1,"Implements proper security controls on the process of terminating
or changing employment.",,YesOrNo,
,,,2,"Communicates termination responsibilities to the terminated
employee in relation to confidentiality agreements and employment contracts.",,YesOrNo,
,,,3,"Implements a process for returning all entity's assets upon
termination of employment.",,YesOrNo,
,,,4,"Implements a process for revoking or changing access rights and
privileges upon termination or change of employment.",,YesOrNo,
A.11,Compliance and Audit,,,,,,
A.11.1,"Compliance with Federal and Local Government Legal
Requirements",A.11,1, Federal Law No. 1 of Year 2006 on Electronic Commerce and Transactions,,YesOrNo,
,,,2, Federal Decree-Law No. 5 of 2012 on Combating Cybercrimes,,YesOrNo,
,,,3, Transactions and electronic commerce Law No. 2 issued in Year 2002 by Dubai Government,,YesOrNo,
,,,4, The Executive Council of Dubai Government Resolution Number (13) issued in Year 2012 for Information Security Regulation,,YesOrNo,
,,,5,Does it comply with The Government of Dubai Human Resources Management Law No. of 2006 and its amendment?,,YesOrNo,
,,,6,Dubai Electronic Security Center Law No.11 of 2014,,YesOrNo,
,,,7,Any other laws pertaining to information securit,,YesOrNo,
A.11.2,Compliance Controls,A.11,1,"Identifies the laws or regulations that are applicable to the entity’s
scope of services.",,YesOrNo,
,,,2,"Develops, distributes and maintains a formal Intellectual Property
Rights (IPR) policy that defines the legal obligations pertaining to the use of information assets",,YesOrNo,
,,,3,Ensures compliance with Intellectual Property Rights,,YesOrNo,
,,,4,"Prohibits employees from manipulating, making or distributing
unauthorized copies of copyrighted/licensed materials, software or
applications.",,YesOrNo,
,,,5,"Implements proper protection controls for the storage, retention
and disposal of entity’s information assets and records.",,YesOrNo,
A.11.3,"Protection of Private Information of Individuals and
Corporates",A.11,1,"Develops, distributes and maintains a privacy policy that addresses
the legal requirements for the prevention of misuse of personal information of the entity's customers, for any reason.",,YesOrNo,
,,,2,"Develops, distributes and maintains a formal procedure detailing
the protection measures required for the processing of private data and
information.",,YesOrNo,
,,,3,"Conducts continuous awareness sessions on the requirements of
protecting private data and information for the responsible personnel.",,YesOrNo,
,,,4,"Restricts, minimizes and monitors access to personal and private
data, and applies proper controls on the process of collecting, processing and transmission of personal data, which should be on «a need-to-know» basis.",,YesOrNo,
,,,5,"Sets proper accountability procedures in the event of any private
information and personal data leakage.",,,
A.11.4,"Compliance with Information Security Policies and
Standards",A.11,1,"Conducts periodic reviews to verify compliance of the implemented
information security policies and procedures.",,YesOrNo,
,,,2,"Conducts periodic technical reviews on information systems to
verify compliance with the security controls/standard",,YesOrNo,
A.11.5,"Audit of Information Security Regulation
Implementation",A.11,1,"Conducts periodic reviews to verify compliance of the implemented
information security policies and procedures.",,YesOrNo,
,,,2,"Conducts periodic technical reviews on information systems to
verify compliance with the security controls/standard",,YesOrNo,
A.12,Information Security Assurance and Performance Assessment,,,,,,
A.12.1,Information Security Key Performance Indicators,A.12,1,"In support of the government entity strategic and operational planning
processes to secure the entity's mission.",,YesOrNo,
,,,2,"Integrated into the annual reporting of effectiveness of the government
entity's information security controls.",,YesOrNo,
,,,3,"Defined to assist in monitoring compliance with the Information Security
Regulation.",,YesOrNo,
,,,4,"Reviewed regularly and used to support policy, resources allocation, budget
decisions, and as an assessment of information security program posture
and operational risks.",,YesOrNo,
,,,5,"Used to address issues and deficiencies and take corrective actions such as
revising policies and procedures, or provide information security trainings
for employees.",,YesOrNo,
,,,6,"Built from inputs of a variety of entity's stakeholders, such as IT operations,
incident response team, human resources, physical security team, or others
using different data sources, such as risk assessments, penetration testing,
and continuous monitoring.",,YesOrNo,
,,,7,"Yielding quantifiable information for comparison purposes, while using formulas for analysis, and tracking changes using the same point of reference. Percentage, average or absolute numbers can be used, depending on the activity being measureA?",,YesOrNo,
,,,8,Measured over consistent and repeatable information security processes.,,YesOrNo,
,,,9,"Integrates information security measurements and Key Performance
Indicators (KPIs) in entity’s business processes and assigns business process
owners the responsibility of achieving such measures.",,,
,,,10,"Approves the entity’s information security measurements and Key
Performance Indicators (KPIs) by the higher management of the entity.",,,
,,,11,"Conducts periodic reviews on the results of information security
measurements in order to ensure continual improvement of information
security program within the entity.",,,
,,,12,"Records actions and events that could have an impact on the
effectiveness or performance of the Information Security Regulation.",,,
A.12.2,Information Security Dashboard,A.12,1,"Implements, as necessary, an integrated dashboard (or incorporates
into an existing entity Performance Measurement tool) for combining all
measured information security KPIs to be reviewed and monitored in a periodic manner, by the senior management and the responsible stakeholders, in order to ease the decision making process, and facilitate the overall planning for the information security program/management system",,YesOrNo,
A.13,Cloud Secuirty,,,,,,
A.13.1,Cloud Security Policy / Procedure,A.13,1,"Develops, distributes and maintains a formal cloud security policy
that addresses the entity’s requirements for overall cloud management
process and outlines roles and responsibilities of relevant stakeholders.",,YesOrNo,
,,,2,"Develops, distributes and maintains a cloud security procedure that
provides implementation details for establishing and managing secured cloud
service environment.",,YesOrNo,
,,,3,"Conducts periodic reviews of cloud security policy and procedure or
if significant changes occur to ensure their continuing suitability, adequacy,
and effectiveness.",,YesOrNo,
A.13.2,Cloud Security Principles,A.13,,,,YesOrNo,
A.13.2.1,Data Location,A.13.2,1,"Prevents handling and storing classified data with a Cloud Service
Provider (CSP), outside the legal jurisdiction or geographical boundaries of
the United Arab Emirates, including for CSP’s Backup or Disaster Recovery
purposes.",,YesOrNo,
A.13.2.2,Data Classification and Handling,A.13.2,1,"Defines and communicates required security controls to Cloud
Service Provider (CSP) for handling of data in accordance to the applicable
laws & regulations",,,
A.13.2.3,Architecture and Deployment Model,A.13.2,1,"Ensures adequate cloud security controls are implemented by Cloud
Service Provider (CSP) as per architecture and deployment model approved
by the entity.",,multi_choice_checkboxes,Information security risks and mitigation
A.13.2.4,Service Agreements,A.13.2,1,"Ensures through a formal agreement that the Cloud Service Provider
(CSP) has no ownership rights on the stored data regardless of the format or
storage medium.",,multi_choice_checkboxes,Data protection and storage
,,,2,"Develops and maintains a formal agreement with Cloud Service
Provider (CSP) addressing the following information security requirements
as a minimum A. Information security risks and mitigation
B. Data protection and storage
C. Information security incidents handling
D. Change, Recovery and Restoration",,multi_choice_checkboxes,Information security incidents handling
,,,,,,multi_choice_checkboxes,"Change, Recovery and Restoration"
A.13.2.5,Data Portability and Continuity,A.13.2,1,"Ensures that Cloud Service Provider (CSP) has the adequate
measures and processes to support data portability whenever the entity
decides to moving its data.",,,
,,,2,"Ensures proper cloud security controls are implemented by Cloud
Service Provider (CSP), addressing entity’s requirements for periodic testing
of the continuity and disaster recovery plans and communicating the results
to entity.",,multi_choice_checkboxes,"Yes, the organization have a backup CSP to migrate the data"
,,,,,,multi_choice_checkboxes,The present CSP is scalable for migration of data?
A.13.2.6,Compliance and monitoring,A.13.2,1,"Conducts periodic reviews or audits to verify Cloud Service Provider’s
(CSPs) compliance with the applicable security policies and contractual
requirements.",,Descriptive,The organization has implemented proper cloud security controls as per the regulatory standards
